cell,arc,metric,transition_type,slew_ns,load_pf,ref0_value_ns,ref1_value_ns,delta_ns,percent_diff
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.24,0.370605,0.234094,-0.136511,-36.8346
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.024,0.218374,0.449604,0.23123,105.8871
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.031448,0.222989,0.458135,0.235147,105.4522
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.038897,0.227604,0.466667,0.239063,105.0348
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.046345,0.232218,0.475198,0.24298,104.6341
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.048,0.233244,0.477094,0.24385,104.5472
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.053793,0.23654,0.482149,0.245609,103.8342
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.061241,0.240777,0.488648,0.247871,102.9463
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.06869,0.245014,0.495147,0.250133,102.0891
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.076138,0.249252,0.501646,0.252395,101.261
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.083586,0.253489,0.508145,0.254656,100.4606
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.091034,0.257726,0.514644,0.256918,99.6865
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.096,0.260551,0.518977,0.258426,99.1844
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.098483,0.261918,0.520728,0.25881,98.8131
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.105931,0.266021,0.525982,0.259961,97.7219
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.113379,0.270123,0.531235,0.261112,96.6639
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.120828,0.274226,0.536489,0.262263,95.6376
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.128276,0.278328,0.541742,0.263414,94.6415
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.135724,0.282431,0.546996,0.264565,93.6743
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.143172,0.286533,0.552249,0.265716,92.7348
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.144,0.286989,0.552833,0.265844,92.6321
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.150621,0.290584,0.557119,0.266535,91.7237
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.158069,0.294629,0.561941,0.267312,90.7283
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.165517,0.298674,0.566764,0.268089,89.7598
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.172966,0.302719,0.571586,0.268867,88.8172
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.180414,0.306764,0.576408,0.269644,87.8995
